fecha,esquila,ovejas,corderos,kilos_lana,rinde_seco,finura,kilo_lana_p/animal,porcentaje_paricion,temp_media,temp_min,tem_max,humedad,cant_lluvia,rad_solar,vel_viento,acumulado_anual,acumulado_verano
31/12/1985,3514,1419,912,15600,0,0,4.44,64.27,14.3,6.4,20.9,0,208.6,0,6.1,208.1,56.1
31/12/1986,3783,1520,680,18167,0,0,4.80,44.74,12.9,5.8,20.5,58.1,130.3,0,6.8,130,20.7
31/12/1987,3988,1928,512,11200,0,0,2.81,26.56,13.8,6.8,20.7,60.3,199.5,0,6.4,199.3,77.1
31/12/1988,3590,1560,310,13197,0,0,3.68,19.87,12.9,5.5,20.4,54.9,85.5,0,6.3,85.4,29
31/12/1989,2830,1210,150,12300,0,0,4.35,12.40,14.5,7.1,21.9,56.5,92.5,0,6.3,92,12.8
31/12/1990,2396,998,124,13900,0,0,5.80,12.42,14.2,6.8,21.7,56.2,96,0,7.4,95.8,0.8
31/12/1991,2503,1122,60,15800,0,0,6.31,5.35,13.2,5.8,20.6,60.3,240,0,6.3,239.7,41.5
31/12/1992,2790,1125,70,11600,0,0,4.16,6.22,14.4,4.7,19.9,62.2,335.2,0,6.4,334.8,109.7
31/12/1993,2765,1240,65,10306,0,0,3.73,5.24,14.8,5.5,21,58.1,155.7,0,5.9,155.2,72.2
31/12/1994,2641,925,34,9000,0,0,3.41,3.68,13.5,4.6,24.3,53.7,82.5,0,15.5,82.3,22.1
31/12/1995,2207,1159,527,9931,0,0,4.50,45.47,11.9,2.6,22,18.5,267.8,0,14.1,267.2,92.2
31/12/1996,2166,849,410,9730,0,0,4.49,48.29,13.9,5.3,22.9,42.6,59.8,0,5.8,59.6,17.8
31/12/1997,1940,768,520,11763,0,0,6.06,67.71,13,6.4,20,56.3,278.6,0,5.9,278.2,87.2
31/12/1998,2805,1124,507,12400,0,0,4.42,45.11,13.5,6.7,20.7,49.9,355,0,6.7,354.6,44.2
31/12/1999,3000,1124,507,13700,0,0,4.57,45.11,12.4,5.6,19.3,55.1,302.4,0,12.2,302.1,106.8
31/12/2000,3200,1632,672,17349,65.27,20.8,5.42,41.18,14,5.5,23,42,212.5,0,11.1,211.9,54.3
31/12/2001,3389,1378,450,13522,61.80,21,3.99,32.66,13.3,6.1,20.5,21.9,188.1,0,6.5,187.7,38.8
31/12/2002,3500,1688,824,17358,61.65,20.93,4.96,48.82,12.7,6.4,19.5,56.4,218,0,9,217.7,31.3
31/12/2003,3850,1952,480,11554,61.10,19.6,3.00,24.59,12.2,3.7,22.2,55.7,161,4894.2,8.2,160.7,38
31/12/2004,3624,1860,816,11267,57.5,19.2,3.11,43.87,12.9,4.9,22.4,58.2,143.9,4916,7.9,143.4,36.6
31/12/2005,4239,3083,820,15753,56.80,18.5,3.72,26.60,12.5,4.3,21.5,61.6,179.8,5019,7.9,179.5,56.4
31/12/2006,3634,1850,555,13785,57.8,19.3,3.79,30.00,13.4,6,21.1,51.5,200.5,4392.7,8.8,200,19.8
31/12/2007,3146,1842,79,10336,58.3,19.3,3.29,4.29,12.5,5.2,20,50.9,194.4,4384.8,7.4,194,100.5
31/12/2008,1677,1232,500,5245,0,0,3.13,40.58,13.4,5.8,21.1,54.3,163.3,4129.4,6.8,162.5,48.1
31/12/2009,1931,1101,400,8739,53.1,19.6,4.53,36.33,13.4,6,20.8,50.1,168.5,4093.6,9.4,168.1,27.3
31/12/2010,2221,1009,79,9164,0,0,4.13,7.83,13.1,5.7,20.6,50.5,184,4439.2,8.4,183.7,81.8
31/12/2011,1651,970,300,6516,55,18.5,3.95,30.93,13.8,6.3,21.3,50.6,130.7,4266.2,6.8,130.1,34.2
31/12/2012,1708,896,432,8376,53.9,20.2,4.90,48.21,13.5,6.1,20.9,50.4,171.8,4208.4,4.9,171.5,99.1
31/12/2013,1976,923,582,9892,53.9,20.3,5.01,63.06,13.6,6.8,20.7,56.3,197.6,4248.9,4.4,197.4,88.6
31/12/2014,2788,1800,200,10510,56.1,19.4,3.77,11.11,13.6,6.7,20.6,54,187.2,4227,4.8,186.6,11.5
31/12/2015,2738,2130,1200,10776,59.1,19.3,3.94,56.34,13.8,6.3,21,51.9,112.9,4342.4,6.5,112.6,25.3
31/12/2016,3289,2311,1200,10990,60,19.8,3.34,51.93,13.5,6.4,20.8,61.4,218,4168.5,7.2,217.4,45
31/12/2017,3484,2032,1455,11200,59.3,19.5,3.21,71.60,14.2,6.8,21.6,57.5,265.2,4218.7,6.4,264.8,51.4
31/12/2018,2963,1200,820,9193,61.3,19.8,3.10,68.33,13.8,6,21.6,55.8,93.2,4166.8,4.1,92.7,19.1
31/12/2019,3520,2940,1129,13027,56.9,19.8,3.70,38.40,13.6,5.8,21.4,55.8,170.7,4229.9,5.1,170.2,77.6
31/12/2020,3320,2021,430,12136,56.1,19.6,3.66,21.28,14.3,6.6,22,54.5,92,4279.9,5.7,91.5,7.6
